iteration,mu_friction_coeff,chain_tension_N,power_W,chain_speed_ms,efficiency_11sp_pct,efficiency_12sp_pct,delta_efficiency_pct,loss_11sp_pct,loss_12sp_pct
105,0.003149,714.95,267.02,0.3735,96.5357,96.7404,0.2047,3.4643,3.2596
106,0.004038,818.17,243.1,0.2971,95.5584,95.8209,0.2625,4.4416,4.1791
107,0.003016,996.16,279.69,0.2808,96.682,96.8781,0.1961,3.318,3.1219
108,0.004167,955.66,282.21,0.2953,95.4166,95.6875,0.2708,4.5834,4.3125
109,0.002835,930.43,199.83,0.2148,96.8818,97.0661,0.1843,3.1182,2.9339
110,0.004103,952.76,279.61,0.2935,95.4865,95.7532,0.2667,4.5135,4.2468
111,0.003935,770.71,268.11,0.3479,95.6714,95.9272,0.2558,4.3286,4.0728
112,0.002951,976.54,278.79,0.2855,96.7535,96.9454,0.1918,3.2465,3.0546
113,0.003111,957.64,219.05,0.2287,96.5775,96.7797,0.2022,3.4225,3.2203
114,0.003227,950.42,184.14,0.1937,96.45,96.6598,0.2098,3.55,3.3402
115,0.002833,745.66,199.24,0.2672,96.8836,97.0677,0.1842,3.1164,2.9323
116,0.00401,1008.74,191.87,0.1902,95.5889,95.8496,0.2607,4.4111,4.1504
117,0.003698,815.89,297.17,0.3642,95.9321,96.1725,0.2404,4.0679,3.8275
118,0.003551,999.34,167.3,0.1674,96.0942,96.325,0.2308,3.9058,3.675
119,0.004159,740.71,294.38,0.3974,95.4256,95.6959,0.2703,4.5744,4.3041
120,0.003172,716.86,215.18,0.3002,96.5112,96.7173,0.2062,3.4888,3.2827
121,0.00382,786.65,240.93,0.3063,95.798,96.0463,0.2483,4.202,3.9537
122,0.003516,810.97,236.49,0.2916,96.1324,96.3609,0.2285,3.8676,3.6391
123,0.003157,920.99,150.25,0.1631,96.5277,96.7329,0.2052,3.4723,3.2671
124,0.004096,863.07,257.91,0.2988,95.4946,95.7608,0.2662,4.5054,4.2392
125,0.003839,908.01,204.63,0.2254,95.7774,96.0269,0.2495,4.2226,3.9731
126,0.002898,905.84,199.53,0.2203,96.8122,97.0006,0.1884,3.1878,2.9994
127,0.003239,968.33,257.96,0.2664,96.4366,96.6471,0.2106,3.5634,3.3529
128,0.00322,785.16,211.26,0.2691,96.4575,96.6668,0.2093,3.5425,3.3332
129,0.003363,780.52,169.09,0.2166,96.3003,96.5189,0.2186,3.6997,3.4811
130,0.003389,999.72,251.6,0.2517,96.2725,96.4928,0.2203,3.7275,3.5072
131,0.004064,889.28,195.14,0.2194,95.5297,95.7938,0.2642,4.4703,4.2062
132,0.003567,680.14,193.04,0.2838,96.0762,96.308,0.2319,3.9238,3.692
133,0.003402,877.19,248.21,0.283,96.258,96.4791,0.2211,3.742,3.5209
134,0.003451,830.33,182.06,0.2193,96.2039,96.4282,0.2243,3.7961,3.5718
135,0.003462,986.4,269.4,0.2731,96.1913,96.4164,0.2251,3.8087,3.5836
136,0.003038,708.83,227.32,0.3207,96.6587,96.8561,0.1974,3.3413,3.1439
137,0.003686,793.96,272.76,0.3435,95.9453,96.1849,0.2396,4.0547,3.8151
138,0.003852,908.75,183.7,0.2021,95.7632,96.0136,0.2504,4.2368,3.9864
139,0.003079,688.3,186.73,0.2713,96.6133,96.8135,0.2001,3.3867,3.1865
140,0.003465,968.91,160.92,0.1661,96.1883,96.4135,0.2252,3.8117,3.5865
141,0.00338,894.12,179.17,0.2004,96.2818,96.5015,0.2197,3.7182,3.4985
142,0.003775,848.09,186.6,0.22,95.8476,96.093,0.2454,4.1524,3.907
143,0.003718,681.89,262.64,0.3852,95.9097,96.1514,0.2417,4.0903,3.8486
144,0.003878,716.24,213.77,0.2985,95.7341,95.9862,0.2521,4.2659,4.0138
145,0.003046,1005.71,227.69,0.2264,96.6491,96.8471,0.198,3.3509,3.1529
146,0.00287,764.73,277.25,0.3625,96.8427,97.0292,0.1866,3.1573,2.9708
147,0.003439,952.48,250.14,0.2626,96.217,96.4406,0.2235,3.783,3.5594
148,0.004183,882.45,292.51,0.3315,95.3986,95.6705,0.2719,4.6014,4.3295
149,0.004048,888.3,257.89,0.2903,95.5472,95.8103,0.2631,4.4528,4.1897
150,0.003507,962.39,232.18,0.2413,96.1426,96.3706,0.2279,3.8574,3.6294
151,0.004056,932.84,221.2,0.2371,95.5383,95.8019,0.2636,4.4617,4.1981
152,0.003163,764.06,245.65,0.3215,96.5208,96.7264,0.2056,3.4792,3.2736
153,0.003872,857.24,244.01,0.2846,95.7406,95.9923,0.2517,4.2594,4.0077
154,0.003184,706.34,192.86,0.273,96.4971,96.7041,0.207,3.5029,3.2959
155,0.00318,788.7,231.02,0.2929,96.5016,96.7083,0.2067,3.4984,3.2917
156,0.002994,758.63,254.09,0.3349,96.7069,96.9015,0.1946,3.2931,3.0985
157,0.003789,701.84,211.14,0.3008,95.8321,96.0784,0.2463,4.1679,3.9216
158,0.00356,821.36,181.03,0.2204,96.0844,96.3158,0.2314,3.9156,3.6842
159,0.003388,987.65,237.61,0.2406,96.273,96.4932,0.2202,3.727,3.5068
160,0.003774,971.29,264.84,0.2727,95.8489,96.0942,0.2453,4.1511,3.9058
161,0.003333,682.0,202.76,0.2973,96.3342,96.5508,0.2166,3.6658,3.4492
162,0.003855,970.17,293.01,0.302,95.7596,96.0102,0.2506,4.2404,3.9898
163,0.003387,934.16,231.92,0.2483,96.2747,96.4948,0.2201,3.7253,3.5052
164,0.003645,754.98,182.91,0.2423,95.991,96.2279,0.2369,4.009,3.7721
165,0.00341,689.87,200.42,0.2905,96.2488,96.4705,0.2217,3.7512,3.5295
166,0.003751,817.47,174.76,0.2138,95.8741,96.1179,0.2438,4.1259,3.8821
167,0.003454,723.39,243.34,0.3364,96.2002,96.4248,0.2245,3.7998,3.5752
168,0.002838,813.97,234.66,0.2883,96.8785,97.0629,0.1845,3.1215,2.9371
169,0.002838,898.53,170.35,0.1896,96.8783,97.0627,0.1845,3.1217,2.9373
170,0.003446,697.1,206.87,0.2968,96.209,96.433,0.224,3.791,3.567
171,0.003096,791.13,264.18,0.3339,96.594,96.7953,0.2013,3.406,3.2047
172,0.003331,935.68,274.79,0.2937,96.3361,96.5526,0.2165,3.6639,3.4474
173,0.003153,707.85,152.91,0.216,96.5315,96.7365,0.205,3.4685,3.2635
174,0.003555,1019.97,202.49,0.1985,96.0893,96.3204,0.2311,3.9107,3.6796
175,0.00371,945.62,247.76,0.262,95.9188,96.1599,0.2412,4.0812,3.8401
176,0.003856,1002.87,179.9,0.1794,95.7585,96.0091,0.2506,4.2415,3.9909
177,0.002829,731.81,168.93,0.2308,96.8886,97.0725,0.1839,3.1114,2.9275
178,0.003737,871.75,182.69,0.2096,95.889,96.132,0.2429,4.111,3.868
179,0.003779,940.75,175.17,0.1862,95.8428,96.0885,0.2457,4.1572,3.9115
180,0.00365,934.29,167.18,0.1789,95.9848,96.2221,0.2373,4.0152,3.7779
181,0.003947,1008.01,166.21,0.1649,95.6583,95.9148,0.2566,4.3417,4.0852
182,0.002836,786.07,251.6,0.3201,96.8805,97.0648,0.1843,3.1195,2.9352
183,0.004141,814.86,257.25,0.3157,95.4444,95.7136,0.2692,4.5556,4.2864
184,0.002906,914.81,244.09,0.2668,96.803,96.9919,0.1889,3.197,3.0081
185,0.002943,942.64,277.54,0.2944,96.7631,96.9543,0.1913,3.2369,3.0457
186,0.003641,721.16,297.58,0.4126,95.9954,96.232,0.2366,4.0046,3.768
187,0.003896,798.05,214.26,0.2685,95.7147,95.968,0.2532,4.2853,4.032
188,0.003319,852.03,201.18,0.2361,96.3493,96.565,0.2157,3.6507,3.435
189,0.003989,959.59,165.83,0.1728,95.6117,95.871,0.2593,4.3883,4.129
190,0.004145,896.1,274.31,0.3061,95.4404,95.7098,0.2694,4.5596,4.2902
191,0.00379,828.07,260.07,0.3141,95.8307,96.0771,0.2464,4.1693,3.9229
192,0.004152,771.83,271.23,0.3514,95.4332,95.703,0.2699,4.5668,4.297
193,0.003553,844.39,215.34,0.255,96.0912,96.3222,0.231,3.9088,3.6778
194,0.003823,771.25,277.76,0.3601,95.7942,96.0427,0.2485,4.2058,3.9573
195,0.003963,709.47,282.24,0.3978,95.6407,95.8983,0.2576,4.3593,4.1017
196,0.003141,838.0,241.55,0.2882,96.5445,96.7486,0.2042,3.4555,3.2514
197,0.003331,689.76,277.64,0.4025,96.3364,96.5528,0.2165,3.6636,3.4472
198,0.003055,752.12,269.67,0.3586,96.64,96.8385,0.1985,3.36,3.1615
199,0.003276,979.31,255.18,0.2606,96.3959,96.6088,0.213,3.6041,3.3912
200,0.003187,683.45,292.21,0.4275,96.4945,96.7017,0.2071,3.5055,3.2983
201,0.00292,924.83,223.29,0.2414,96.7882,96.9779,0.1898,3.2118,3.0221
202,0.003861,914.81,246.89,0.2699,95.7524,96.0034,0.251,4.2476,3.9966
203,0.003487,949.6,163.96,0.1727,96.1641,96.3908,0.2267,3.8359,3.6092
204,0.00311,915.21,195.93,0.2141,96.5787,96.7809,0.2022,3.4213,3.2191
205,0.003614,840.91,229.64,0.2731,96.0244,96.2593,0.2349,3.9756,3.7407
206,0.003396,933.62,199.62,0.2138,96.2647,96.4854,0.2207,3.7353,3.5146
207,0.003784,772.11,187.71,0.2431,95.8376,96.0836,0.246,4.1624,3.9164
208,0.002969,745.48,167.93,0.2253,96.7342,96.9272,0.193,3.2658,3.0728
209,0.00355,939.14,177.77,0.1893,96.0948,96.3255,0.2308,3.9052,3.6745
210,0.003103,844.63,258.69,0.3063,96.5868,96.7885,0.2017,3.4132,3.2115
211,0.004167,858.38,192.45,0.2242,95.416,95.6869,0.2709,4.584,4.3131
212,0.002941,746.0,184.12,0.2468,96.7652,96.9563,0.1911,3.2348,3.0437
213,0.003051,684.81,230.12,0.336,96.6437,96.842,0.1983,3.3563,3.158
214,0.003184,1011.26,233.0,0.2304,96.4976,96.7045,0.207,3.5024,3.2955
215,0.003776,722.94,280.27,0.3877,95.846,96.0914,0.2455,4.154,3.9086
216,0.003487,976.72,236.11,0.2417,96.164,96.3907,0.2267,3.836,3.6093
217,0.003457,829.76,177.65,0.2141,96.1971,96.4218,0.2247,3.8029,3.5782
218,0.002872,999.96,221.66,0.2217,96.8409,97.0276,0.1867,3.1591,2.9724
219,0.003951,816.24,161.11,0.1974,95.6539,95.9108,0.2568,4.3461,4.0892
220,0.003681,698.23,172.38,0.2469,95.9507,96.1899,0.2393,4.0493,3.8101
221,0.003588,783.3,299.09,0.3818,96.0532,96.2864,0.2332,3.9468,3.7136
222,0.002966,939.91,240.95,0.2564,96.7376,96.9304,0.1928,3.2624,3.0696
223,0.003907,756.73,228.39,0.3018,95.7023,95.9562,0.254,4.2977,4.0438
224,0.003431,830.53,279.02,0.336,96.2262,96.4492,0.223,3.7738,3.5508
225,0.004186,783.83,243.15,0.3102,95.3954,95.6674,0.2721,4.6046,4.3326
226,0.003653,931.63,292.14,0.3136,95.9812,96.2186,0.2375,4.0188,3.7814
227,0.003091,751.75,249.06,0.3313,96.6,96.8009,0.2009,3.4,3.1991
228,0.00302,739.1,161.26,0.2182,96.6781,96.8744,0.1963,3.3219,3.1256
229,0.002804,833.17,239.07,0.2869,96.9159,97.0981,0.1822,3.0841,2.9019
230,0.003208,758.7,256.04,0.3375,96.4715,96.68,0.2085,3.5285,3.32
231,0.003784,834.37,253.11,0.3034,95.8374,96.0834,0.246,4.1626,3.9166
232,0.004093,947.86,243.76,0.2572,95.4972,95.7633,0.2661,4.5028,4.2367
233,0.003726,997.45,213.77,0.2143,95.9018,96.1439,0.2422,4.0982,3.8561
234,0.003562,900.2,286.26,0.318,96.0814,96.3129,0.2316,3.9186,3.6871
235,0.003957,704.28,174.89,0.2483,95.647,95.9042,0.2572,4.353,4.0958
236,0.003231,934.65,235.38,0.2518,96.4463,96.6563,0.21,3.5537,3.3437
237,0.003204,722.28,253.3,0.3507,96.4755,96.6838,0.2083,3.5245,3.3162
238,0.00378,1000.51,225.07,0.225,95.8424,96.0881,0.2457,4.1576,3.9119
239,0.003491,707.35,155.98,0.2205,96.1596,96.3865,0.2269,3.8404,3.6135
240,0.003405,789.59,187.56,0.2375,96.2547,96.476,0.2213,3.7453,3.524
241,0.002928,1007.05,275.39,0.2735,96.7794,96.9697,0.1903,3.2206,3.0303
242,0.003605,1003.27,299.94,0.299,96.0342,96.2685,0.2343,3.9658,3.7315
243,0.003741,771.63,156.03,0.2022,95.8847,96.1279,0.2432,4.1153,3.8721
244,0.003859,839.97,247.73,0.2949,95.7553,96.0062,0.2508,4.2447,3.9938
245,0.004083,741.71,237.8,0.3206,95.5092,95.7746,0.2654,4.4908,4.2254
246,0.003689,847.19,163.69,0.1932,95.9424,96.1822,0.2398,4.0576,3.8178
247,0.003287,793.32,250.52,0.3158,96.3841,96.5978,0.2137,3.6159,3.4022
248,0.004001,792.13,254.05,0.3207,95.5991,95.8591,0.2601,4.4009,4.1409
249,0.003204,1001.37,272.03,0.2717,96.4761,96.6844,0.2082,3.5239,3.3156
250,0.00357,834.64,197.18,0.2362,96.0729,96.3049,0.2321,3.9271,3.6951
251,0.003253,1009.86,210.63,0.2086,96.4222,96.6336,0.2114,3.5778,3.3664
252,0.00352,1015.96,248.65,0.2447,96.1275,96.3564,0.2288,3.8725,3.6436
253,0.00356,820.5,178.14,0.2171,96.0844,96.3158,0.2314,3.9156,3.6842
254,0.003306,937.19,243.81,0.2602,96.3629,96.5778,0.2149,3.6371,3.4222
255,0.003864,749.21,232.38,0.3102,95.7496,96.0008,0.2512,4.2504,3.9992
256,0.004099,828.96,254.74,0.3073,95.4914,95.7578,0.2664,4.5086,4.2422
257,0.00297,1010.87,241.33,0.2387,96.733,96.9261,0.193,3.267,3.0739
258,0.003135,733.85,232.63,0.317,96.5515,96.7553,0.2038,3.4485,3.2447
259,0.003573,711.69,298.84,0.4199,96.0695,96.3018,0.2323,3.9305,3.6982
260,0.004078,836.89,167.62,0.2003,95.5141,95.7792,0.2651,4.4859,4.2208
261,0.003965,849.45,257.49,0.3031,95.6385,95.8962,0.2577,4.3615,4.1038
262,0.003512,772.96,275.21,0.356,96.1363,96.3646,0.2283,3.8637,3.6354
263,0.004172,762.87,232.69,0.305,95.4104,95.6816,0.2712,4.5896,4.3184
264,0.003337,993.44,226.24,0.2277,96.3293,96.5462,0.2169,3.6707,3.4538
265,0.004031,973.77,191.44,0.1966,95.5658,95.8279,0.262,4.4342,4.1721
266,0.003906,821.08,290.14,0.3534,95.7034,95.9573,0.2539,4.2966,4.0427
267,0.003511,958.99,192.43,0.2007,96.1381,96.3663,0.2282,3.8619,3.6337
268,0.003218,879.56,299.84,0.3409,96.4602,96.6694,0.2092,3.5398,3.3306
269,0.003485,730.52,230.79,0.3159,96.166,96.3925,0.2266,3.834,3.6075
270,0.003283,867.65,231.51,0.2668,96.3885,96.6019,0.2134,3.6115,3.3981
271,0.003437,789.4,178.3,0.2259,96.2188,96.4422,0.2234,3.7812,3.5578
272,0.003776,874.41,185.03,0.2116,95.8459,96.0913,0.2455,4.1541,3.9087
273,0.003886,694.84,261.71,0.3766,95.7257,95.9782,0.2526,4.2743,4.0218
274,0.003787,955.88,207.91,0.2175,95.8339,96.0801,0.2462,4.1661,3.9199
275,0.003729,959.05,297.12,0.3098,95.8979,96.1403,0.2424,4.1021,3.8597
276,0.003493,692.59,225.34,0.3254,96.1572,96.3843,0.2271,3.8428,3.6157
277,0.003626,975.7,281.13,0.2881,96.0111,96.2468,0.2357,3.9889,3.7532
278,0.003416,858.82,218.54,0.2545,96.2419,96.464,0.2221,3.7581,3.536
279,0.003811,819.39,248.22,0.3029,95.8074,96.0552,0.2477,4.1926,3.9448
280,0.003016,839.63,295.38,0.3518,96.6823,96.8783,0.196,3.3177,3.1217
